ID,cdt,combination,duration_look_speak,nb-look,latency_first_look,move_speak
PS,AH,no,5.6389,1,1.8,no
ZL,AH,no,39.313,7,1.36,no
ZL,WB,no,25.313,4,1.84,no
KU,AH,no,0,2,120,no
KU,AH-WB,yes,83.815,2,2.57,yes
FK,WB,no,9.232,2,0.84,no
FK,AH,no,7.158,2,89.4,no
MS,AH-WB,yes,36.71,2,1.72,no
PS,AH-WB,yes,25.474,7,1.52,yes
KT,AH-WB,yes,98.835,6,1.64,yes
PS,WB,no,11.115,5,6.48,no
FK,AH-WB,yes,51.59,10,0.36,no
ZL,AH-WB,yes,49.635,5,2.12,no
MS,WB,no,15.824,7,0.747,no
KT,AH,no,6.502,2,15.846,no